Estado,SKU,Nome,PV,Preço Consumidor,25%,35%,42%,50%,Origem_Aba
SP,14,1923 Beauty Booster Frutas Vermelhas,"27,80","301,00","225,15","199,80","182,05","161,77",SP (1)
SP,82,395K Nutri Soup Frango Com Legumes,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,058K N-R-G Original 60g,"15,85","159,00","117,33","104,12","94,87","84,30",SP (1)
SP,32,056K N-R-G Guaraná Tropical 100g,"24,45","252,00","176,94","157,01","143,07","127,13",SP (1)
SP,20,0246 Pó de Proteína 480g,"39,25","401,00","296,67","263,26","239,88","213,15",SP (1)
SP,43,062K Herbal Concentrate Laranja e Especiarias 102g,"37,60","364,00","267,86","237,70","216,58","192,45",SP (1)
SP,12,306B NutreV pack 10 unidades,"80,90","790,00","526,02","496,50","475,84","452,22",SP (1)
SP,59,1639 NutreV,"7,40","79,00","65,13","61,18","58,41","55,25",SP (1)
SP,47,497K Fiber Concentrate Immune Limão e Mel,"20,30","206,00","142,19","126,18","114,97","102,16",SP (1)
SP,03,040K Protein Crunch,"12,30","112,00","85,35","75,74","69,01","61,32",SP (1)
SP,99,146K Glutamina,"9,10","80,00","60,33","55,01","51,28","47,02",SP (1)
SP,17,0242 Pó de Proteína 240g,"19,30","221,00","160,44","142,37","129,73","115,28",SP (1)
SP,97,004K Herbal Concentrate Original Embalagem Econômica,"138,05","1072,00","836,45","742,26","676,32","600,97",SP (1)
SP,35,063K Herbal Concentrate Limão 51g,"21,45","222,00","161,69","143,49","130,74","116,18",SP (1)
SP,42,0927 Fiber Powder,"24,65","243,00","181,25","160,84","146,55","130,23",SP (1)
SP,28,191K Whey Protein sabor Baunilha,"24,55","256,00","189,94","173,74","162,39","149,43",SP (1)
SP,09,061K Herbal Concentrate Canela 102g,"37,60","364,00","267,86","237,70","216,58","192,45",SP (1)
SP,12,003K N-R-G Guaraná Tropical Embalagem Econômica,"84,80","668,00","520,74","462,10","421,05","374,14",SP (1)
SP,41,147K Whey Protein 3W,"24,55","256,00","189,94","173,74","162,39","149,43",SP (1)
SP,09,223K OnActive Drink,"19,45","176,00","133,18","120,24","111,18","100,83",SP (1)
SP,18,1417 Herbalife24 Hours Tri-Core Protein Blend Chocolate,"46,80","467,00","370,03","333,07","307,19","277,61",SP (1)
SP,93,0931 Nutri Soup Creme Verde,"25,75","246,00","180,57","160,23","146,00","129,73",SP (1)
SP,04,148K BCAA 5:1:1,"25,85","264,00","196,48","179,34","167,35","153,64",SP (1)
SP,94,496K Fiber Concentrate Uva,"20,30","206,00","142,19","126,18","114,97","102,16",SP (1)
SP,498K,Fiber Concentrate Manga,"20,30","206,00","142,19","126,18","114,97","102,16",SP (1)
SP,03,059K Herbal Concentrate Original 102g,"37,60","364,00","267,86","237,70","216,58","192,45",SP (1)
SP,12,0065 Herbalifeline,"27,70","281,00","205,39","182,27","166,08","147,57",SP (1)
SP,33,3122 Multivitaminas e Minerais,"10,75","122,00","86,61","76,86","70,03","62,23",SP (1)
SP,a,0411 Sabonete em Barra Soft Green Chá Verde,"2,05","21,00","12,45","11,39","10,64","9,79",SP (1)
SP,77,0431 Creme Hidratante Soft Green Chá Verde,"8,20","82,00","53,34","48,79","45,60","41,95",SP (1)
SP,12,0766 Cleanser Facial Cítrico 150ml,"13,70","182,00","126,33","113,96","105,30","95,40",SP (1)
SP,96,0770 Gel Firmador para os Olhos 15ml,"21,70","282,00","195,30","175,58","161,77","146,00",SP (1)
SP,73,0773 Máscara Purificante de Argila 120ml,"13,80","185,00","128,77","116,10","107,23","97,09",SP (1)
SP,04,0768 Sérum Facial Redutor de linhas 30ml,"30,90","397,00","275,25","247,58","228,21","206,08",SP (1)
SP,67,0408 Sabonete Líquido para as mãos Soft Green Chá Verde,"7,20","71,00","54,22","49,59","46,35","42,64",SP (1)
SP,92,0563 Desodorante Soft Green Chá Verde,"2,70","30,00","18,71","17,12","16,00","14,73",SP (1)
RJ,a,534K Protein Ice Cream (Gelato Proteico) Sabor Chocolate,"59,80","473,00","364,61","323,55","294,81","261,96",RJ
RJ,38,535K Protein Ice Cream (Gelato Proteico) Sabor Baunilha,"59,80","473,00","364,61","323,55","294,81","261,96",RJ
RJ,38,447K Shake Pistache,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,249K Shake Frapê de Abacaxi,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,295K Shake Cookies & Cream,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,023K Shake Café Cremoso,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,0940 Shake Doce De Leite,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,3144 Shake Chocolate Sensation,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,0951 Shake Baunilha Cremoso,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,0953 Shake Morango Cremoso,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,326K Shake Banana Caramelizada,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,439K Shake Torta de Limão,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,0930 Shake Coco,"25,75","246,00","183,07","162,46","148,02","131,53",RJ
RJ,11,2122 Shake Doce de Leite Embalagem Econômica,"102,00","786,00","621,32","551,35","502,38","446,41",RJ
RJ,38,387K Shake Chocolate Sensation Embalagem Econômica,"96,90","786,00","590,45","523,97","477,43","424,24",RJ
RJ,38,2129 Shake Baunilha Cremoso Embalagem Econômica,"102,00","786,00","621,32","551,35","502,38","446,41",RJ
RJ,38,1446 Shake Morango Cremoso Embalagem Econômica,"102,00","786,00","621,32","551,35","502,38","446,41",RJ
